,地市,公司,0,1,2,3,4,5,6,7,8,9
290,宜春市,史丹利农业集团股份有限公司,,,,,,,,,,
291,宜兴市,宜兴申利化工有限公司,,0,,,,,,,,
292,宜兴市,惠多利农资有限公司,0,,,,,,,,,
293,银川市,山东聊城鲁西化工集团有限责任公司,,0,,,,,,,,
294,银川市,泸天化(集团)有限责任公司,0,,,,,,,,,
295,鹰潭市,金正大生态工程集团股份有限公司,,0,,,,,,,,
296,鹰潭市,安徽六国化工股份有限公司,0,,,,,,,,,
297,营口市,香港米高实业有限公司,,0,,,,,,,,
298,营口市,辽宁津大盛源肥业集团有限公司,0,,,,,,,,,
299,岳阳市,中国石油化工集团公司???,,,,,,,,,,
300,运城市,中农集团控股股份有限公司,,1,1,3,0,,,,,
301,运城市,阳煤化工股份有限公司,1,,0,1,0,,,,,
302,运城市,烟台市农业生产资料总公司,1,0,,0,0,,,,,
303,运城市,山西晋城无烟煤矿业集团有限责任公司?,3,1,0,,0,,,,,
304,运城市,黑龙江倍丰农业生产资料集团有限公司,0,0,0,0,,,,,,
305,枣庄市,兖矿集团有限公司???,,0,,,,,,,,
306,枣庄市,深圳市芭田生态工程股份有限公司,0,,,,,,,,,
307,张家口市,中国化工集团公司,,0,,,,,,,,
308,张家口市,河北天人化工股份有限公司,0,,,,,,,,,
309,章丘市,山西晋城无烟煤矿业集团有限责任公司,,,,,,,,,,
310,漳州市,双赢集团有限公司,,,,,,,,,,
311,长春市,香港米高实业有限公司,,0,0,0,,,,,,
312,长春市,庆丰农业生产资料集团有限责任公司,0,,0,0,,,,,,
313,长春市,黑龙江倍丰农业生产资料集团有限公司,0,0,,0,,,,,,
314,长春市,安徽六国化工股份有限公司,0,0,0,,,,,,,
315,长沙市,中农集团控股股份有限公司,,0,,,,,,,,
316,长沙市,江苏绿陵化工集团有限公司,0,,,,,,,,,
317,长治市,天脊煤化工集团股份有限公司,,,,,,,,,,
318,昭通市,云南云天化股份有限公司?,,,,,,,,,,
319,镇江市,香港米高实业有限公司,,,,,,,,,,
320,郑州市,江苏阿波罗复合肥有限公司???,,0,,,,,,,,
321,郑州市,大化集团有限责任公司,0,,,,,,,,,
322,钟祥市,中海石油化学股份有限公司,,0,1,1,,,,,,
323,钟祥市,香港景裕发展有限公司,0,,1,1,,,,,,
324,钟祥市,湖北新洋丰肥业股份有限公司,1,1,,2,,,,,,
325,钟祥市,湖北鄂中生态工程股份有限公司,1,1,2,,,,,,,
326,重庆市,中化化肥有限公司?,,1,0,,,,,,,
327,重庆市,双赢集团有限公司,1,,0,,,,,,,
328,重庆市,泸天化(集团)有限责任公司,0,0,,,,,,,,
329,周口市,金正大生态工程集团股份有限公司,,,,,,,,,,
330,株洲市,中盐安徽红四方股份有限公司??,,0,0,,,,,,,
331,株洲市,广西柳州化工控股有限公司,0,,0,,,,,,,
332,株洲市,富利香港有限公司,0,0,,,,,,,,
333,驻马店市,中国化工集团公司,,1,,,,,,,,
334,驻马店市,史丹利农业集团股份有限公司,1,,,,,,,,,
335,淄博市,阳煤化工股份有限公司??,,,,,,,,,,
336,自贡市,云南煤化工集团有限公司,,,,,,,,,,
337,遵义市,香港米高实业有限公司???,,0,0,1,,,,,,
338,遵义市,贵州黔新企业集团有限公司?,0,,0,0,,,,,,
339,遵义市,贵州赤天化集团有限责任公司,0,0,,0,,,,,,
340,遵义市,成都云图控股股份有限公司,1,0,0,,,,,,,
